,Monocyte,NK,B,DC,T_cell
ext_150,0.02480906806886196,0.0017584019806236029,0.49255597591400146,0.1729438155889511,0.3079327642917633
ext_151,0.10151218622922897,0.3446004390716553,0.21416227519512177,0.3232421576976776,0.016482897102832794
ext_152,0.22885914146900177,0.10440617799758911,0.304922878742218,0.2265000343322754,0.1353117972612381
ext_153,0.14320214092731476,0.1772441267967224,0.24035769701004028,0.29938846826553345,0.1398075670003891
ext_154,0.3451370894908905,0.18219172954559326,0.15564832091331482,0.29138678312301636,0.02563607692718506
ext_155,0.14558783173561096,0.3275188207626343,0.07970495522022247,0.20280177891254425,0.24438661336898804
ext_156,0.18738262355327606,0.012358538806438446,0.4209997057914734,0.2443072646856308,0.1349518746137619
ext_157,0.2969205975532532,0.2651599049568176,0.023281725123524666,0.2975652813911438,0.11707247793674469
ext_158,0.12330886721611023,0.08130012452602386,0.33491286635398865,0.3199581801891327,0.14051997661590576
ext_159,0.0746878981590271,0.061683617532253265,0.42115703225135803,0.38747838139533997,0.05499307066202164
ext_160,0.42792466282844543,0.006526565179228783,0.055196523666381836,0.3113580644130707,0.1989942193031311
ext_161,0.11756778508424759,0.0240074023604393,0.12351289391517639,0.31316712498664856,0.42174479365348816
ext_162,0.00026821758365258574,0.1769540011882782,0.23200255632400513,0.2411458045244217,0.3496294319629669
ext_163,0.24766579270362854,0.09139047563076019,0.26749923825263977,0.3733033835887909,0.020141107961535454
ext_164,7.521909719798714e-05,0.018316958099603653,0.45951423048973083,0.2893405854701996,0.2327529937028885
ext_165,0.10544074326753616,0.32667696475982666,0.3230293393135071,0.17800968885421753,0.06684327870607376
ext_166,0.07193256169557571,0.12491530179977417,0.40999001264572144,0.30603647232055664,0.08712564408779144
ext_167,0.39413630962371826,0.09537554532289505,0.22032561898231506,0.2342376559972763,0.05592485889792442
ext_168,0.0,0.007554750889539719,0.3232387900352478,0.09107454121112823,0.578131914138794
ext_169,0.4163958728313446,0.05250268429517746,0.11888688802719116,0.30354586243629456,0.10866866260766983
ext_170,0.17733821272850037,0.16748932003974915,0.05064736306667328,0.2862657308578491,0.3182593286037445
ext_171,0.07727240025997162,0.4781889021396637,0.09696447104215622,0.3237570524215698,0.02381720021367073
ext_172,0.01168904546648264,0.18057836592197418,0.16748544573783875,0.25873664021492004,0.38151049613952637
ext_173,0.21943646669387817,0.071263886988163,0.25502264499664307,0.404672771692276,0.04960426315665245
ext_174,0.32192733883857727,0.15382155776023865,0.15101425349712372,0.34280925989151,0.030427617952227592
ext_175,0.25855669379234314,0.1873888224363327,0.08123400807380676,0.36511290073394775,0.10770756006240845
ext_176,0.08285835385322571,0.4774279296398163,0.0596504770219326,0.26898646354675293,0.111076720058918
ext_177,0.01029511820524931,0.5646061301231384,0.058519572019577026,0.36657923460006714,0.0
ext_178,0.09728387743234634,0.42424899339675903,0.10244512557983398,0.3020511865615845,0.07397080957889557
ext_179,0.000524423667229712,0.39701831340789795,0.14937633275985718,0.2812218964099884,0.17185907065868378
ext_180,0.1552535891532898,0.0,0.10433955490589142,0.24597610533237457,0.4944307208061218
ext_181,0.0,0.00010095213656313717,0.7148089408874512,0.27004870772361755,0.015041342936456203
ext_182,0.06858288496732712,0.3457273244857788,0.1680077314376831,0.2977103590965271,0.11997166275978088
