,Monocyte,NK,B,DC,T_cell
ext_137,0.02308187633752823,0.002009816700592637,0.022185534238815308,0.025134174153208733,0.022616354748606682
ext_138,0.024224108085036278,0.018380023539066315,0.016026601195335388,0.02359010837972164,0.021869191899895668
ext_139,0.0033691967837512493,0.015041486360132694,0.022761398926377296,0.015495308674871922,0.02826051041483879
ext_140,0.023106103762984276,0.022305192425847054,0.01832413300871849,0.024518601596355438,0.024269377812743187
ext_141,0.021807575598359108,0.01930518075823784,0.017770947888493538,0.02296367846429348,0.022908324375748634
ext_142,0.02488539181649685,0.016419030725955963,0.01800738461315632,0.023919234052300453,0.02267850749194622
ext_143,0.02179907076060772,0.016176126897335052,0.015020327642560005,0.02358495257794857,0.003748935181647539
ext_144,0.0225643590092659,0.02169547788798809,0.015414589084684849,0.024732129648327827,0.01598169468343258
ext_145,0.023861611261963844,0.016198957338929176,0.016458144411444664,0.027731025591492653,0.018453603610396385
ext_146,0.023520680144429207,0.01699182204902172,0.016149194911122322,0.02533040940761566,0.018833843991160393
ext_147,0.005872489418834448,0.018254414200782776,0.02180924266576767,0.016445713117718697,0.026712095364928246
ext_148,0.0007399518508464098,0.0,0.016199171543121338,0.01698324829339981,0.008779092691838741
ext_149,0.025028083473443985,0.0023363057989627123,0.02358142100274563,0.027223140001296997,0.0245808195322752
ext_150,0.022055955603718758,0.004618667531758547,0.025030963122844696,0.02369479276239872,0.025309383869171143
ext_151,0.023215804249048233,0.016521316021680832,0.017107270658016205,0.024871570989489555,0.016970964148640633
ext_152,0.023768465965986252,0.015478157438337803,0.020103244110941887,0.024483073502779007,0.024531198665499687
ext_153,0.023240908980369568,0.016759367659687996,0.017954591661691666,0.02437783218920231,0.023396115750074387
ext_154,0.023795075714588165,0.01501493714749813,0.016829803586006165,0.026572182774543762,0.01890639029443264
ext_155,0.022881951183080673,0.0203232541680336,0.015823621302843094,0.024244140833616257,0.020674021914601326
ext_156,0.024688763543963432,0.012233112938702106,0.023183340206742287,0.026625465601682663,0.027710072696208954
ext_157,0.02266179770231247,0.01908736862242222,0.014519828371703625,0.0249229297041893,0.018811507150530815
ext_158,0.02363407053053379,0.014825711958110332,0.020975112915039062,0.024779949337244034,0.025724081322550774
ext_159,0.02425670251250267,0.01441720686852932,0.024051852524280548,0.027097312733530998,0.028949322178959846
ext_160,0.024442158639431,0.009546846151351929,0.016821149736642838,0.02844514511525631,0.01746515929698944
ext_161,0.02253803052008152,0.015190438367426395,0.015765264630317688,0.023721233010292053,0.019594509154558182
ext_162,0.0012442541774362326,0.01865050010383129,0.01768629625439644,0.015065268613398075,0.023062368854880333
ext_163,0.024239571765065193,0.012662746012210846,0.018699554726481438,0.026761073619127274,0.019728709012269974
ext_164,0.00039392212056554854,0.014908048324286938,0.024365609511733055,0.015160704031586647,0.02952534332871437
ext_165,0.023552997037768364,0.019812436774373055,0.020259013399481773,0.024323277175426483,0.023906640708446503
ext_166,0.023362139239907265,0.016426613554358482,0.023881945759058,0.02557682991027832,0.029047874733805656
ext_167,0.025194384157657623,0.0153053505346179,0.01835116557776928,0.02748051844537258,0.02220321260392666
ext_168,0.0,0.010370385833084583,0.02092882990837097,0.01635402999818325,0.02225695177912712
ext_169,0.02526252157986164,0.014509639702737331,0.016989991068840027,0.027816837653517723,0.02000075951218605
ext_170,0.023516207933425903,0.017450399696826935,0.015981756150722504,0.02459881454706192,0.019640177488327026
ext_171,0.0238529983907938,0.02063666842877865,0.016670159995555878,0.025471238419413567,0.01884651742875576
ext_172,0.015008559450507164,0.018743712455034256,0.017211100086569786,0.017904579639434814,0.02268523909151554
ext_173,0.022882848978042603,0.014426511712372303,0.01915617845952511,0.026127517223358154,0.0237713735550642
ext_174,0.023793883621692657,0.015204241499304771,0.017225805670022964,0.027069874107837677,0.018828894942998886
ext_175,0.022621935233473778,0.016842994838953018,0.016267606988549232,0.025222813710570335,0.019779134541749954
ext_176,0.02426399290561676,0.022935478016734123,0.015707431361079216,0.02496284991502762,0.02150763012468815
ext_177,0.015041046775877476,0.01757964864373207,0.01667631044983864,0.01900268718600273,0.0
ext_178,0.022941989824175835,0.02248883992433548,0.016810068860650063,0.024517197161912918,0.022512897849082947
ext_179,0.0022493063006550074,0.022364387288689613,0.017318708822131157,0.01588653028011322,0.023426717147231102
ext_180,0.02530478872358799,0.0,0.01625814661383629,0.02548494003713131,0.016538171097636223
ext_181,0.0,0.0004648926551453769,0.023023951798677444,0.018031379207968712,0.021630218252539635
ext_182,0.022580960765480995,0.02020137570798397,0.017208676785230637,0.023859405890107155,0.022646868601441383
ext_183,0.023256076499819756,0.018778372555971146,0.01709708385169506,0.024145236238837242,0.02173103392124176
ext_184,0.02369609661400318,0.00678609125316143,0.022696837782859802,0.026043713092803955,0.024814458563923836
ext_185,0.02336578071117401,0.0,0.01811787858605385,0.024092385545372963,0.018825581297278404
ext_186,0.022368159145116806,0.02103273570537567,0.016083011403679848,0.023799000307917595,0.021500704810023308
ext_187,0.02491902746260166,0.014379506930708885,0.016298932954669,0.026357607915997505,0.019051194190979004
ext_188,0.024232355877757072,0.014014890417456627,0.017689673230051994,0.025826461613178253,0.022029077634215355
ext_189,0.025414004921913147,0.011224983260035515,0.020931553095579147,0.02788897231221199,0.023980895057320595
ext_190,0.02415098063647747,0.01948321796953678,0.01785201206803322,0.02524075098335743,0.02259150706231594
ext_191,0.02466190792620182,0.01196376048028469,0.019899612292647362,0.027150679379701614,0.02123764343559742
ext_192,0.022899679839611053,0.004804119933396578,0.017166413366794586,0.025389431044459343,0.018532413989305496
ext_193,0.022139856591820717,0.015580779872834682,0.015616723336279392,0.024905133992433548,0.0019346857443451881
ext_194,0.0,0.0,0.02501983568072319,0.015891533344984055,0.024063585326075554
ext_195,0.024597270414233208,0.01576060801744461,0.017180580645799637,0.029236286878585815,0.018436865881085396
ext_196,0.022793486714363098,0.0025113620795309544,0.0196725782006979,0.024674557149410248,0.020162833854556084
ext_197,0.024407779797911644,0.015696197748184204,0.01590505614876747,0.02381279692053795,0.020795855671167374
ext_198,0.003208930604159832,0.016664907336235046,0.0256870836019516,0.016182562336325645,0.03174302726984024
ext_199,0.014728534035384655,0.02073325216770172,0.01731215789914131,0.01819148287177086,0.02309432439506054
