sample_id,cell_type,mean,std,q0.05,q0.25,q0.75,q0.95,interval_width,disagreement
cal_266,NK,0.09310471266508102,0.05016492307186127,0.0,0.07637110352516174,0.12853966653347015,0.15394152700901031,0.15394152700901031,0.5388010579475755
cal_266,T_cell,0.6009889245033264,0.053163085132837296,0.5197837948799133,0.5649744868278503,0.6270062923431396,0.7057679891586304,0.18598419427871704,0.08845934106386286
cal_267,B,0.3733406960964203,0.028441984206438065,0.33382153511047363,0.35320761799812317,0.3918685019016266,0.41915902495384216,0.08533748984336853,0.07618238178156908
cal_267,DC,0.051982879638671875,0.059416014701128006,0.0,0.001697573927231133,0.06582476198673248,0.1903533786535263,0.1903533786535263,1.1429917635230182
cal_267,Monocyte,0.0826609879732132,0.04570607841014862,0.0,0.05851734057068825,0.1184488907456398,0.13665878772735596,0.13665878772735596,0.55293402609245
cal_267,NK,0.0036265598610043526,0.00839535053819418,0.0,0.0,0.0,0.02437390759587288,0.02437390759587288,2.3149562423896466
cal_267,T_cell,0.48838886618614197,0.0335247777402401,0.425613671541214,0.4734847843647003,0.5087259411811829,0.5437355637550354,0.11812189221382141,0.06864361449432899
cal_268,B,0.206733837723732,0.022494081407785416,0.17253366112709045,0.18985232710838318,0.22325633466243744,0.23854096233844757,0.06600730121135712,0.10880695955432174
cal_268,DC,0.000262804445810616,0.0018396311206743121,0.0,0.0,0.0,0.0,0.0,6.999733652388155
cal_268,Monocyte,0.15216495096683502,0.019252188503742218,0.1219007819890976,0.13790512084960938,0.16485852003097534,0.18605026602745056,0.06414948403835297,0.12652182461334388
cal_268,NK,0.29235926270484924,0.06792283803224564,0.16161790490150452,0.25150689482688904,0.34404677152633667,0.36659669876098633,0.2049787938594818,0.23232660761479254
cal_268,T_cell,0.34847912192344666,0.057520508766174316,0.2801099419593811,0.3056555688381195,0.37980207800865173,0.4670620560646057,0.1869521141052246,0.16506155891943144
cal_269,B,0.13533654808998108,0.025026047602295876,0.10002721101045609,0.113437719643116,0.15560953319072723,0.17647382616996765,0.07644661515951157,0.18491712775536107
cal_269,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cal_269,Monocyte,0.4415958821773529,0.042669303715229034,0.38792163133621216,0.40816280245780945,0.47075092792510986,0.5228040218353271,0.134882390499115,0.09662522788616039
cal_269,NK,0.08526238799095154,0.04594965651631355,0.0,0.07296531647443771,0.11369926482439041,0.1435573846101761,0.1435573846101761,0.5389205276772764
cal_269,T_cell,0.33780521154403687,0.03431954234838486,0.2832372486591339,0.311094731092453,0.36361563205718994,0.38454633951187134,0.10130909085273743,0.10159565382535363
cal_270,B,0.22442005574703217,0.02481113001704216,0.18346548080444336,0.20921820402145386,0.2434464544057846,0.25467056035995483,0.07120507955551147,0.11055664712713094
cal_270,DC,0.019824307411909103,0.048045266419649124,0.0,0.0,0.0,0.1400822401046753,0.1400822401046753,2.4235521163914973
cal_270,Monocyte,0.22820201516151428,0.039650920778512955,0.14029332995414734,0.2145402878522873,0.25411856174468994,0.27808213233947754,0.1377888023853302,0.17375358851635636
cal_270,NK,0.0019901671912521124,0.0055204047821462154,0.0,0.0,0.0,0.016540110111236572,0.016540110111236572,2.773825771097836
cal_270,T_cell,0.5255634188652039,0.026055246591567993,0.47880569100379944,0.5087558031082153,0.5407822132110596,0.5581195950508118,0.07931390404701233,0.04957583644628101
cal_271,B,0.2216280698776245,0.03454400971531868,0.16680596768856049,0.199249729514122,0.24719767272472382,0.27031663060188293,0.10351066291332245,0.15586477008866706
cal_271,DC,0.1901438683271408,0.10062208026647568,0.08509791642427444,0.1310754269361496,0.19682244956493378,0.4123937487602234,0.32729583233594894,0.5291891653401343
cal_271,Monocyte,0.23260782659053802,0.05888092517852783,0.11151732504367828,0.21931371092796326,0.27600187063217163,0.29655835032463074,0.18504102528095245,0.2531338842301196
