scenario,score_name,retained_fraction,reject_high_mae,reject_low_mae,reject_high_delta_vs_all,reject_low_delta_vs_all
dropout_low,mean_interval_width,0.75,0.07604087142117441,0.08840999901432292,-0.006931091997142494,0.005438035596006016
dropout_low,mean_interval_width,0.5,0.0697370319745564,0.09620689486207744,-0.013234931443760506,0.013234931443760534
dropout_low,mean_interval_width,0.25,0.06665785663029891,0.10376523940974446,-0.016314106788017993,0.02079327599142755
dropout_low,max_interval_width,0.9,0.08117693986428419,0.08472671138329567,-0.0017950235540327153,0.0017547479649787645
dropout_low,max_interval_width,0.75,0.07837885772240517,0.08838237267385861,-0.004593105695911731,0.005410409255541704
dropout_low,max_interval_width,0.5,0.0728063645469826,0.09313756228965124,-0.010165598871334308,0.010165598871334336
dropout_low,max_interval_width,0.25,0.06674073565169183,0.09675128050605217,-0.01623122776662507,0.013779317087735263
dropout_low,mean_disagreement,0.9,0.08510600568014898,0.08457526419321021,0.0021340422618320726,0.0016033007748933042
dropout_low,mean_disagreement,0.75,0.0866634700960957,0.08686742665932015,0.0036915066777787886,0.003895463241003247
dropout_low,mean_disagreement,0.5,0.08394282157767666,0.0820011052589572,0.0009708581593597526,-0.000970858159359711
dropout_low,mean_disagreement,0.25,0.0712855736953072,0.07189744338498058,-0.0116863897230097,-0.011074520033336324
dropout_low,max_disagreement,0.9,0.08466850065850849,0.08416603834939251,0.0016965372401915868,0.0011940749310756088
dropout_low,max_disagreement,0.75,0.08633538552946765,0.0857508626542287,0.003363422111150746,0.0027788992359117914
dropout_low,max_disagreement,0.5,0.08373244976962195,0.08221147706701189,0.0007604863513050453,-0.0007604863513050175
dropout_low,max_disagreement,0.25,0.07463526571058163,0.07288169708486471,-0.008336697707735277,-0.010090266333452197
dropout_medium,mean_std,0.9,0.08826810102725659,0.09426079308967716,-0.0037570097758159587,0.0022356822866046178
dropout_medium,mean_std,0.75,0.08502498277588565,0.09643553767424737,-0.0070001280271869,0.004410426871174822
dropout_medium,mean_std,0.5,0.08203472138026541,0.10201550022587969,-0.009990389422807139,0.009990389422807139
dropout_medium,mean_std,0.25,0.07879383018954803,0.11302549488463326,-0.013231280613524521,0.021000384081560713
dropout_medium,max_std,0.9,0.08904252558364814,0.09395422750581812,-0.002982585219424405,0.0019291167027455786
dropout_medium,max_std,0.75,0.08619638221818791,0.09556700320043501,-0.005828728584884632,0.003541892397362467
dropout_medium,max_std,0.5,0.0852979143920095,0.09875230721413558,-0.0067271964110630494,0.0067271964110630356
dropout_medium,max_std,0.25,0.08139943361098517,0.1095112965577264,-0.010625677192087374,0.017486185754653855
dropout_medium,mean_interval_width,0.9,0.08849456586200953,0.09401519955484534,-0.0035305449410630158,0.0019900887517727978
dropout_medium,mean_interval_width,0.75,0.0850457279117434,0.09633930221102041,-0.006979382891329142,0.004314191407947865
dropout_medium,mean_interval_width,0.5,0.0823070069596271,0.10174321464651798,-0.009718103843445444,0.00971810384344543
dropout_medium,mean_interval_width,0.25,0.07908253657922902,0.11296325947705997,-0.012942574223843525,0.020938148673987425
dropout_medium,max_interval_width,0.9,0.08914329574646868,0.09390632616256242,-0.0028818150566038703,0.001881215359489874
dropout_medium,max_interval_width,0.75,0.08753564812340683,0.09472449517022279,-0.004489462679665712,0.00269938436715024
dropout_medium,max_interval_width,0.5,0.0859055432855751,0.09814467832057,-0.00611956751749744,0.006119567517497454
dropout_medium,max_interval_width,0.25,0.08392695770162184,0.10549349884206974,-0.008098153101450706,0.013468388038997192
dropout_medium,mean_disagreement,0.9,0.09324149298077587,0.09393729179913385,0.0012163821777033262,0.0019121809960613023
dropout_medium,mean_disagreement,0.75,0.09332354206945467,0.09560531480281088,0.0012984312663821274,0.003580203999738338
dropout_medium,mean_disagreement,0.5,0.09299293542408424,0.09105728618206087,0.0009678246210116925,-0.0009678246210116787
dropout_medium,mean_disagreement,0.25,0.08128449880385753,0.08812981700392618,-0.010740611999215013,-0.003895293799146368
dropout_medium,max_disagreement,0.9,0.09310524420750892,0.09334387759551392,0.0010801334044363703,0.0013187667924413754
dropout_medium,max_disagreement,0.75,0.09384646199814718,0.09320314323906043,0.0018213511950746358,0.0011780324359878802
dropout_medium,max_disagreement,0.5,0.09522977501044778,0.08882044659569731,0.003204664207375238,-0.003204664207375238
dropout_medium,max_disagreement,0.25,0.08849101349510886,0.0865610572178486,-0.0035340973079636823,-0.005464053585223949
dropout_high,mean_std,0.9,0.10505837002348953,0.10919603388051805,-0.0030589440820610186,0.0010787197749674987
dropout_high,mean_std,0.75,0.10403775590779221,0.10899804259817118,-0.0040795581977583345,0.000880728492620636
dropout_high,mean_std,0.5,0.10381626238108911,0.11241836583001202,-0.0043010517244614355,0.004301051724461477
dropout_high,mean_std,0.25,0.10547512862768872,0.12035598869882559,-0.0026421854778618248,0.012238674593275045
dropout_high,max_std,0.9,0.10511876527596976,0.10929811278017905,-0.0029985488295807827,0.0011807986746285026
dropout_high,max_std,0.75,0.10433819972569698,0.11105614574747964,-0.0037791143798535654,0.002938831641929096
dropout_high,max_std,0.5,0.1014406249063446,0.1147940033047565,-0.006676689199205943,0.006676689199205957
dropout_high,max_std,0.25,0.09930081917976334,0.11945465724511128,-0.008816494925787205,0.011337343139560738
dropout_high,mean_interval_width,0.9,0.10542050203643528,0.10911339563993559,-0.002696812069115262,0.000996081534385046
dropout_high,mean_interval_width,0.75,0.10525987992863307,0.10828782891179382,-0.0028574341769174727,0.00017051480624327708
dropout_high,mean_interval_width,0.5,0.10389688506785828,0.11233774314324285,-0.004220429037692264,0.004220429037692305
dropout_high,mean_interval_width,0.25,0.10760576968682083,0.116689616636303,-0.0005115444187297202,0.00857230253075246
dropout_high,max_interval_width,0.9,0.105464054711972,0.10932689257551019,-0.00265325939357855,0.0012095784699596435
dropout_high,max_interval_width,0.75,0.10550045256419253,0.11098020902583419,-0.002616861541358012,0.0028628949202836457
dropout_high,max_interval_width,0.5,0.1033145125334074,0.11292011567769374,-0.004802801572143148,0.004802801572143189
dropout_high,max_interval_width,0.25,0.09952862934469968,0.11596789872962462,-0.008588684760850868,0.007850584624074078
dropout_high,mean_disagreement,0.9,0.10772488363012428,0.10928075844662533,-0.00039243047542626697,0.0011634443410747791
dropout_high,mean_disagreement,0.75,0.10567382189506871,0.11044840993462282,-0.002443492210481832,0.0023310958290722744
dropout_high,mean_disagreement,0.5,0.10520957676103176,0.11102505145006936,-0.002907737344518782,0.00290773734451881
dropout_high,mean_disagreement,0.25,0.10112402661833382,0.11544779073699614,-0.006993287487216726,0.007330476631445593
dropout_high,max_disagreement,0.9,0.10742276174798576,0.10936203358152205,-0.0006945523575647844,0.0012447194759715036
dropout_high,max_disagreement,0.75,0.10721579183082806,0.11000335531097474,-0.0009015222747224827,0.0018860412054241965
dropout_high,max_disagreement,0.5,0.10851706313548176,0.10771756507561935,0.0003997490299312151,-0.0003997490299312012
dropout_high,max_disagreement,0.25,0.10245919048927801,0.11082188092971806,-0.005658123616272534,0.0027045668241675175
low_depth_medium,mean_std,0.9,0.07648855092430486,0.0816831677189842,-0.002713790290191448,0.0024808265044879013
low_depth_medium,mean_std,0.75,0.07287252163375048,0.08559262080554572,-0.006329819580745827,0.0063902795910494165
low_depth_medium,mean_std,0.5,0.0664602899855896,0.09194439244340298,-0.012742051228906703,0.012742051228906676
low_depth_medium,mean_std,0.25,0.060031502441348,0.0981917999567337,-0.019170838773148305,0.018989458742237397
low_depth_medium,max_std,0.9,0.07709269455108018,0.08117459018234596,-0.0021096466634161204,0.0019722489678496574
low_depth_medium,max_std,0.75,0.0739652561579705,0.08434899736162525,-0.0052370850565258,0.005146656147128947
low_depth_medium,max_std,0.5,0.06591853936131935,0.09248614306767325,-0.013283801853176957,0.013283801853176944
low_depth_medium,max_std,0.25,0.06376237277310944,0.09491359638407366,-0.01543996844138687,0.01571125516957736
low_depth_medium,mean_interval_width,0.9,0.0767991666644195,0.08188308514916828,-0.0024031745500768115,0.002680743934671978
low_depth_medium,mean_interval_width,0.75,0.07314495954909224,0.08546855758292182,-0.006057381665404066,0.006266216368425517
low_depth_medium,mean_interval_width,0.5,0.0662901666212261,0.0921145158077665,-0.01291217459327021,0.012912174593270195
low_depth_medium,mean_interval_width,0.25,0.06040369210921964,0.09737448621070842,-0.018798649105276663,0.018172144996212114
low_depth_medium,max_interval_width,0.9,0.07754539498106393,0.08116971202426622,-0.001656946233432377,0.001967370809769914
low_depth_medium,max_interval_width,0.75,0.07496562100112585,0.0847078463887928,-0.0042367202133704596,0.005505505174296502
low_depth_medium,max_interval_width,0.5,0.06720765816129239,0.09119702426770018,-0.01199468305320392,0.011994683053203878
low_depth_medium,max_interval_width,0.25,0.06268582569160677,0.0919125018546076,-0.016516515522889533,0.012710160640111295
low_depth_medium,mean_disagreement,0.9,0.08124212621754347,0.08128139782928924,0.002039785003047162,0.0020790566147929346
low_depth_medium,mean_disagreement,0.75,0.08375311706705188,0.07956899532990729,0.004550775852555575,0.00036665411541098036
low_depth_medium,mean_disagreement,0.5,0.08644453249543024,0.07196014993356234,0.007242191280933938,-0.007242191280933966
low_depth_medium,mean_disagreement,0.25,0.07810237886826327,0.06555001365682955,-0.0010999623462330382,-0.013652327557666752
low_depth_medium,max_disagreement,0.9,0.08082452468176339,0.07966655447618132,0.0016221834672670854,0.000464213261685012
low_depth_medium,max_disagreement,0.75,0.0832533968407475,0.07892794848977479,0.0040510556262512015,-0.0002743927247215172
low_depth_medium,max_disagreement,0.5,0.08670001598480731,0.07170466644418526,0.007497674770311005,-0.007497674770311047
low_depth_medium,max_disagreement,0.25,0.08002551938866076,0.06704917433574263,0.0008231781741644545,-0.012153166878753674
low_depth_high,mean_std,0.9,0.07695151628709987,0.08219353114564429,-0.0024940269410563543,0.002747987917488065
low_depth_high,mean_std,0.75,0.073115390727102,0.08618401235298173,-0.0063301525010542176,0.006738469124825508
low_depth_high,mean_std,0.5,0.0660622199268077,0.09282886652950477,-0.013383323301348518,0.013383323301348546
low_depth_high,mean_std,0.25,0.05923013585367975,0.0984360007313189,-0.020215407374476475,0.01899045750316268
low_depth_high,max_std,0.9,0.07749486357561096,0.08173813988313867,-0.0019506796525452647,0.002292596654982451
low_depth_high,max_std,0.75,0.07435809106642899,0.08507321968332075,-0.005087452161727235,0.005627676455164529
low_depth_high,max_std,0.5,0.06595326289784734,0.09293782355846511,-0.013492280330308887,0.013492280330308887
low_depth_high,max_std,0.25,0.06256251386266268,0.09470789971333801,-0.016883029365493546,0.015262356485181788
low_depth_high,mean_interval_width,0.9,0.07692648035112605,0.08224348748790665,-0.002519062877030173,0.002797944259750426
low_depth_high,mean_interval_width,0.75,0.07300022495956936,0.08604221699337491,-0.0064453182685868665,0.006596673765218691
low_depth_high,mean_interval_width,0.5,0.06565406225415958,0.09323702420215288,-0.013791480973996642,0.013791480973996656
low_depth_high,mean_interval_width,0.25,0.05965552193250015,0.09878149803391688,-0.019790021295656074,0.019335954805760655
low_depth_high,max_interval_width,0.9,0.07772284129569107,0.08155599062553867,-0.0017227019324651538,0.002110447397382448
low_depth_high,max_interval_width,0.75,0.07482403404129409,0.08461931109324027,-0.004621509186862133,0.005173767865084042
